Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2024-10-10,3172.627197265625,1410.33837890625,6927.15185546875,3021.232666015625,1183.23876953125,11539.5419921875,1874.7864990234375,727.4810180664062,283.4526672363281,1664.1875,1601.7891845703125,433.4388732910156,1308.3223876953125,4637.76416015625,275.3500061035156,2712.58203125,1718.603759765625,820.114501953125,721.6552734375,724.83447265625,2673.66064453125,1233.978515625,4657.27978515625,1842.85791015625,448.5997314453125,343.26470947265625,1004.6945190429688,374.78790283203125,3428.3759765625,3168.84130859375,12805.5009765625,951.2522583007812,1236.330078125,406.14288330078125,262.1478576660156,315.4968566894531,1365.595947265625,1728.8018798828125,781.4096069335938,652.9173583984375,1858.2139892578125,1105.953369140625,156.0801239013672,4002.590576171875,1560.1407470703125,3436.90673828125,8021.900390625,11358.0546875,246.0676727294922
2024-10-11,3135.6455078125,1401.4317626953125,6955.38818359375,2999.603271484375,1171.4488525390625,11583.3818359375,1875.486328125,725.7219848632812,282.4646911621094,1673.4105224609375,1578.8837890625,437.7457275390625,1311.5220947265625,4667.52783203125,277.54998779296875,2715.6708984375,1748.060546875,814.4906005859375,721.8546752929688,741.9091796875,2701.322265625,1213.635498046875,4685.5322265625,1858.3189697265625,445.08966064453125,340.9682922363281,1009.33203125,376.04644775390625,3450.370849609375,3109.369140625,12639.8447265625,938.7167358398438,1236.0103759765625,405.95068359375,265.5977783203125,311.4393310546875,1366.6417236328125,1729.3499755859375,784.0074462890625,653.6117553710938,1872.19189453125,1104.9110107421875,156.9987030029297,3928.54931640625,1586.4852294921875,3463.97509765625,8227.822265625,11349.359375,247.6143798828125
2024-10-14,3099.5634765625,1403.471923828125,7064.14990234375,3001.529296875,1163.355712890625,11605.1787109375,1866.2906494140625,716.4591064453125,282.2671203613281,1681.54248046875,1581.55517578125,442.49658203125,1323.5855712890625,4718.61572265625,280.04998779296875,2717.015869140625,1763.5013427734375,832.7931518554688,738.5585327148438,737.5908813476562,2707.048828125,1222.3184814453125,4671.056640625,1881.1746826171875,453.06695556640625,339.5205383300781,1009.7808227539062,381.71990966796875,3522.200927734375,3129.755126953125,12403.6005859375,946.1581420898438,1231.2125244140625,407.87237548828125,260.1051940917969,312.05267333984375,1367.0650634765625,1732.58935546875,789.3012084960938,664.1948852539062,1879.8697509765625,1105.3577880859375,154.7120361328125,3916.666015625,1630.263916015625,3487.30517578125,8184.75927734375,11229.1220703125,257.5742492675781
2024-10-15,3103.16162109375,1413.4234619140625,7111.50927734375,3029.13330078125,1152.86474609375,11236.716796875,1853.047119140625,697.3867797851562,285.3792419433594,1703.012939453125,1555.137451171875,439.0777587890625,1313.996337890625,4661.654296875,279.54998779296875,2725.8837890625,1776.994384765625,830.81982421875,712.2811889648438,721.65771484375,2699.623779296875,1245.8865966796875,4748.42578125,1881.5589599609375,454.5257263183594,336.2257080078125,998.162109375,378.6034851074219,3519.079833984375,3130.648193359375,12313.4765625,967.8831176757812,1222.453369140625,409.8901062011719,257.5631408691406,311.2506103515625,1338.678466796875,1718.087158203125,788.81103515625,665.3392944335938,1868.74658203125,1107.0452880859375,152.0833282470703,3897.871826171875,1613.7445068359375,3497.972900390625,8117.2177734375,11344.98828125,249.7938232421875
2024-10-16,3084.370849609375,1397.00341796875,7042.935546875,3043.94775390625,1152.2152099609375,11329.80859375,1861.143310546875,691.368896484375,282.2671203613281,1719.574462890625,1545.6883544921875,440.232177734375,1333.721435546875,4618.36572265625,274.25,2754.081298828125,1772.3858642578125,838.565185546875,724.7965698242188,727.762939453125,2699.4296875,1233.6312255859375,4691.92138671875,1843.914306640625,449.64813232421875,333.1305236816406,986.6929931640625,374.83782958984375,3499.958251953125,3043.5478515625,12251.2998046875,963.088623046875,1211.6275634765625,407.63214111328125,259.1065368652344,308.75006103515625,1348.6884765625,1728.05419921875,789.5952758789062,663.236328125,1868.7957763671875,1105.7547607421875,151.7022247314453,3877.184326171875,1599.248046875,3460.58544921875,7799.04345703125,11250.9833984375,249.41888427734375
2024-10-17,3012.256591796875,1387.9473876953125,6961.2646484375,3018.0224609375,1130.883544921875,9869.322265625,1814.915771484375,685.71875,281.1308898925781,1687.0465087890625,1542.225341796875,435.0373229980469,1332.3599853515625,4564.662109375,270.54998779296875,2696.04248046875,1774.808837890625,825.4178466796875,724.0985107421875,729.4505615234375,2658.082763671875,1221.8223876953125,4616.19921875,1890.0096435546875,445.7278137207031,328.6375427246094,976.8694458007812,372.38067626953125,3537.31005859375,2940.97216796875,12013.720703125,936.169677734375,1170.51416015625,401.3867492675781,255.6566162109375,312.4773254394531,1351.0291748046875,1696.4085693359375,795.0850219726562,637.4533081054688,1859.9859619140625,1082.1298828125,148.9269256591797,3890.487060546875,1636.52490234375,3393.138671875,7712.9677734375,10947.904296875,247.82530212402344
2024-10-18,3000.512451171875,1398.7945556640625,6954.89013671875,2955.111083984375,1195.8280029296875,9815.1943359375,1819.0137939453125,685.7237548828125,283.6996765136719,1693.69091796875,1535.29931640625,437.07977294921875,1339.7232666015625,4704.64697265625,257.45001220703125,2750.942626953125,1765.211669921875,829.7098388671875,740.4034423828125,748.0144653320312,2637.1669921875,1254.8177490234375,4655.18310546875,1805.0211181640625,443.72210693359375,329.8356628417969,989.9342651367188,373.779052734375,3544.74072265625,2940.624755859375,11975.484375,936.3195190429688,1156.514404296875,408.3047790527344,257.1999816894531,313.3265686035156,1353.8927001953125,1700.4453125,804.2510375976562,654.2865600585938,1880.46044921875,1085.20703125,151.8488006591797,3913.313232421875,1625.8331298828125,3371.30419921875,7761.326171875,10999.5771484375,257.1524353027344
2024-10-21,2936.1943359375,1368.84033203125,6958.3759765625,3011.45458984375,1189.28369140625,10240.9541015625,1757.543701171875,673.9315185546875,278.9079284667969,1678.517822265625,1507.644775390625,431.0412292480469,1331.038330078125,4748.87353515625,265.70001220703125,2708.3974609375,1751.8138427734375,852.8223876953125,743.7940673828125,734.215576171875,2614.3095703125,1249.4095458984375,4583.2548828125,1779.236572265625,440.9414367675781,326.6905822753906,978.814208984375,357.4278869628906,3552.468505859375,2974.30419921875,12045.52734375,950.3533325195312,1158.6796875,408.3527526855469,251.1172332763672,312.4773254394531,1363.7532958984375,1706.2261962890625,797.927978515625,648.15380859375,1867.3193359375,1009.5676879882812,151.4969940185547,3872.31103515625,1638.6439208984375,3353.15869140625,7599.9658203125,10800.8369140625,256.8946228027344
2024-10-22,2822.40087890625,1356.2515869140625,6864.30517578125,2969.629150390625,1174.7459716796875,10112.0703125,1721.7611083984375,663.6946411132812,268.38592529296875,1678.22021484375,1494.3863525390625,415.900634765625,1324.0823974609375,4698.13134765625,256.3500061035156,2645.7255859375,1743.3492431640625,845.841796875,726.1927490234375,715.0064697265625,2602.808349609375,1257.7947998046875,4516.76708984375,1778.132080078125,439.2547912597656,313.56103515625,961.06201171875,352.2239074707031,3479.449462890625,2864.18896484375,11795.630859375,922.1359252929688,1156.514404296875,399.4650573730469,245.85157775878906,304.5509948730469,1338.006103515625,1692.5711669921875,774.841552734375,636.6513061523438,1858.0172119140625,990.906005859375,146.96273803710938,3811.234375,1634.1649169921875,3319.80908203125,7490.8603515625,10756.96484375,255.65260314941406
2024-10-23,2834.14501953125,1333.9599609375,6879.04541015625,2952.691162109375,1159.4091796875,10325.072265625,1738.852783203125,695.2897338867188,265.42193603515625,1671.82373046875,1469.89794921875,421.0067138671875,1313.2510986328125,4617.8720703125,264.04998779296875,2623.655517578125,1765.3472900390625,856.3251342773438,721.7550048828125,711.87939453125,2581.0673828125,1242.0164794921875,4512.37451171875,1799.0672607421875,437.932861328125,314.2100524902344,951.88671875,353.15283203125,3423.471435546875,2771.235595703125,11828.1796875,913.1463012695312,1145.147216796875,392.3069152832031,245.89703369140625,299.03082275390625,1333.2003173828125,1710.3626708984375,770.5281372070312,625.5497436523438,1810.5712890625,1007.0860595703125,145.38943481445312,3859.40283203125,1672.1160888671875,3278.73291015625,7504.79833984375,10685.318359375,256.47283935546875
